,금융비용대비매출액,총자산증가율,총자산규모,부채비율,비유동자산회전율,현금흐름,자기자본증가율,총자본순이익률,노동소득분배율,유동비율,총자본회전율,y,감사의견코드,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업,회계년도
0,2.1811780005541457,-40.69845222877645,17.58376441186839,78.71543351604483,138.83874930982049,17.397556691423198,-36.56813519027323,-70.02307338836435,-99.0117827674592,171.65236790065774,319.119180744988,1.0,1,0,0,0,0,0,0,0,0,0,1,2020
1,5.820381017867011,-18.21820985774389,17.714853327938087,335.3119914323672,67.65369289164933,-8.818697768833859,-55.32790123530705,-19.80347667518936,193.36280542445783,51.192980060984695,121.16186203306464,1.0,1,0,0,0,0,0,0,0,0,1,0,2014
2,2.936857581269959,-47.64324141764579,17.067764174703267,42.09376568067947,69.63470813316265,7.409361549797549,60.3977819452445,-71.98829108656622,76.62094518906132,324.7742499009473,197.16342366309004,1.0,1,0,0,0,0,0,0,0,0,1,0,2015
3,39.11054783196505,0.7666316884780271,17.23139216341814,171.14701710712944,37.308653263286274,-45.10871477207194,-8.762798593904808,-88.11367242985739,-69.58392112335753,41.74428328795933,51.04079593547374,1.0,0,0,0,0,0,0,0,0,0,1,0,2019
4,39.11054783196505,-37.22627123434783,16.76575863162193,4.054753010731588,16.988581159366724,17.882625591604242,-97.80327999666638,-332.6373136384116,-418.0414790654802,21.89549510778064,251.27740222509453,1.0,1,0,0,0,0,0,0,0,0,1,0,2020
5,8.636683158280832,-11.223796373069902,17.105199899937904,302.39159939652944,78.09286218997057,-18.94962765935912,-63.9369656594393,-2.6647238274872973,50.81533406352683,97.95964551106312,53.498542180105545,1.0,1,0,0,1,0,0,0,0,0,0,0,2017
6,3.1347688415856148,-18.87955420757168,17.456701502114885,331.1527560621837,141.64418010632843,0.054796781607636,-64.76000644927726,-2.163812908726316,44.57394724607643,78.98100317072704,351.2779402066027,1.0,1,0,0,0,0,0,0,0,0,0,1,2014
7,0.1281600659075862,-7.277280901942435,19.232818892546764,9.163900388587075,26.324353675903872,-1.924137749665195,-6.439305934979311,-27.276173594088217,244.63380677697475,1040.8914666967328,464.74856738915406,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
8,34.29172040150566,-28.85306151657034,17.8243049115338,99.97750814907532,13.960651286109666,-16.38555120592083,-48.04646193358136,-86.60394926463607,-32.59989055924742,808.926730587811,54.68382530344063,1.0,1,0,0,0,0,0,0,0,1,0,0,2019
9,22.447869918729005,-4.751432282936534,17.775624702348264,159.2043472828272,26.13098056817107,-16.735830394823907,-26.51523097678641,-10.143821039395384,107.37789848406184,74.88206411486293,84.43662197419488,1.0,1,0,0,0,0,0,0,0,1,0,0,2020
10,1.2972592807667038,-57.92143978449064,16.56983461713436,36.58358531651728,57.68174720259039,-20.994710591796284,-53.9793943898766,-15.829822397038756,517.0553550998857,182.68398406894545,73.38909332200367,1.0,1,0,0,0,0,0,0,0,0,1,0,2015
11,2.271957243621189,-1.3459867791942102,17.093343884010505,183.1347558196992,178.01626168643247,8.508033570120183,12.885140118282967,-6.375870959642768,43.78479088890504,100.26002496892484,161.3991753942868,1.0,1,0,0,0,0,0,0,0,0,0,1,2012
12,2.7171781153352272,-10.277629892224429,16.984893824041684,229.9828467989475,191.5406323245075,-9.73098821188974,-23.01563066547028,-20.80775537086388,21.96806978023417,78.78153565890632,150.5846862766545,1.0,1,0,0,0,0,0,0,0,0,0,1,2013
13,1.7822673975507453,3.0587859204164487,17.015023200566183,74.90553931804847,159.3951608973505,-10.506868198005254,94.43426612647768,11.97457626022436,-82.46422951659531,148.28031147177083,98.44088218114145,1.0,1,0,0,0,0,0,0,0,0,0,1,2014
14,0.7578745737091013,-32.97247221475477,17.11908022641492,4.054753010731588,87.4577721097633,49.47968443287056,-97.80327999666638,-181.7481211068472,-418.0414790654802,81.76411911753553,76.823641141088,1.0,1,0,0,0,0,0,0,0,0,1,0,2019
15,0.5004160318658625,-36.661818637538914,16.420621605839436,84.14227288505535,187.55154300857032,-11.47564806676244,-47.727920755016925,-75.97544143874786,-30.633718638665453,169.55500894255312,115.01745902520771,1.0,0,0,0,0,0,0,0,0,0,0,1,2012
16,6.154750543425821,9.590398381752076,18.6522666699231,124.8934220656041,73.1311208668856,6.876115872458323,-12.15365583328295,-8.861233217484305,70.12421171192898,81.05723408247546,198.21559097502407,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
17,0.1065965764514299,15.08816746884219,17.95461160444078,4.541110595363806,24.046438059146087,7.1842885080800345,36.875936961993006,5.217727947785062,25.58460695621021,1339.4846624776426,17.575145520368583,1.0,1,0,0,0,0,0,0,0,0,0,1,2012
18,4.558300109732258,12.751061546369485,18.67642202480212,46.112873049176805,80.07239012116361,9.8225563080865,20.235716156797025,76.46773092955812,25.898400686738103,163.37337011392,658.7936304352604,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
19,5.683036972423736,-60.02967731360383,16.55353235635533,190.34418916390595,280.69302173453707,-96.1706917370406,-87.7882613322737,-23.787753956383195,-71.02423389586579,90.52043505157776,115.9274189692173,1.0,0,0,0,1,0,0,0,0,0,0,0,2011
