,금융비용대비매출액,총자산규모,부채비율,매출원가율,비유동자산회전율,총자산증가율,자기자본증가율,당좌비율,총자본순이익률,y,감사의견코드,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업,회계년도
0,2.1811780005541457,17.58376441186839,78.71543351604483,95.28883298059868,138.83874930982049,-40.69845222877645,-36.56813519027323,97.34650176075884,-10.714159286512432,1.0,1,0,0,0,0,0,0,0,0,0,1,2020
1,5.820381017867011,17.714853327938087,335.3119914323672,69.5179344876907,67.65369289164933,-18.21820985774389,-55.32790123530705,78.53653786444376,-7.445353768343861,1.0,1,0,0,0,0,0,0,0,0,1,0,2014
2,2.936857581269959,17.067764174703267,42.09376568067947,70.54022580718916,69.63470813316265,-47.64324141764579,60.3977819452445,80.87934259817123,-15.116176577687956,1.0,1,0,0,0,0,0,0,0,0,1,0,2015
3,43.25951777891298,17.23139216341814,171.14701710712944,60.81260338293127,37.308653263286274,0.7666316884780271,-8.762798593904808,76.59677338309439,-35.200342627625346,1.0,0,0,0,0,0,0,0,0,0,1,0,2019
4,73.15533054534284,16.76575863162193,-704.7184680515513,39.94075107274872,16.988581159366724,-37.22627123434783,-128.14683229758344,77.87801171405337,-17.252203136221553,1.0,1,0,0,0,0,0,0,0,0,1,0,2020
5,8.636683158280832,17.105199899937904,302.39159939652944,88.00292147436247,78.09286218997057,-11.223796373069902,-63.9369656594393,98.9108810412213,-1.5216689965720782,1.0,1,0,0,1,0,0,0,0,0,0,0,2017
6,3.1347688415856148,17.456701502114885,331.1527560621837,81.81048661357939,141.64418010632843,-18.87955420757168,-64.76000644927726,97.57791752156572,-0.4790962617639017,1.0,1,0,0,0,0,0,0,0,0,0,1,2014
7,0.1281600659075862,19.232818892546764,9.163900388587075,63.34160407224368,26.324353675903872,-7.277280901942435,-6.439305934979311,81.96654286087004,-1.0403267971079762,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
8,34.29172040150566,17.8243049115338,99.97750814907532,117.35796791430602,13.960651286109666,-28.85306151657034,-48.04646193358136,79.1810513530754,-13.507662360826572,1.0,1,0,0,0,0,0,0,0,1,0,0,2019
9,22.447869918729005,17.775624702348264,159.2043472828272,44.130950979631415,26.13098056817107,-4.751432282936534,-26.51523097678641,80.59383320298284,-1.949257165947284,1.0,1,0,0,0,0,0,0,0,1,0,0,2020
10,1.2972592807667038,16.56983461713436,36.58358531651728,61.60216631566393,57.68174720259039,-57.92143978449064,-53.9793943898766,78.54011111367963,-7.296326330833123,1.0,1,0,0,0,0,0,0,0,0,1,0,2015
11,2.271957243621189,17.093343884010505,183.1347558196992,88.67523097731687,178.01626168643247,-1.3459867791942102,12.885140118282967,55.4823222815199,-3.2433535817893864,1.0,1,0,0,0,0,0,0,0,0,0,1,2012
12,2.7171781153352272,16.984893824041684,229.9828467989475,88.60172603136283,191.5406323245075,-10.277629892224429,-23.01563066547028,63.5891519278771,-12.409664992150832,1.0,1,0,0,0,0,0,0,0,0,0,1,2013
13,1.7822673975507453,17.015023200566183,74.90553931804847,96.1609331568874,159.3951608973505,3.0587859204164487,94.43426612647768,67.38749399692942,9.3888809235321,1.0,1,0,0,0,0,0,0,0,0,0,1,2014
14,0.7578745737091013,17.11908022641492,-1623.1438471571475,0.0,87.4577721097633,-32.97247221475477,-106.15347127517198,100.0,-64.38018075916537,1.0,1,0,0,0,0,0,0,0,0,1,0,2019
15,0.5004160318658625,16.324401927569244,84.14227288505535,93.6793799848388,187.55154300857032,-36.661818637538914,-47.727920755016925,54.89535956288927,-39.98795474162952,1.0,0,0,0,0,0,0,0,0,0,0,1,2012
16,6.154750543425821,18.6522666699231,124.8934220656041,83.13054251663839,73.1311208668856,9.590398381752076,-12.15365583328295,56.85402539427138,-2.30956369045753,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
17,0.1065965764514299,17.95461160444078,4.541110595363806,44.40471010742556,24.046438059146087,15.08816746884219,36.875936961993006,99.62323097428744,4.324410374443227,1.0,1,0,0,0,0,0,0,0,0,0,1,2012
18,4.558300109732258,18.67642202480212,46.112873049176805,65.74635459804651,80.07239012116361,12.751061546369485,20.235716156797025,82.63355068564225,4.797438216785934,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
19,5.683036972423736,16.55353235635533,190.34418916390595,99.09088134265264,280.69302173453707,-74.14378220551676,-87.7882613322737,96.707900769768,-10.579695086709409,1.0,0,0,0,1,0,0,0,0,0,0,0,2011
20,0.89973664545393,18.55449990641717,287.2785147782837,94.82812923475451,455.7451408118529,-7.178980576672712,-14.069961325374026,50.599720745440926,3.2458703219758105,1.0,1,0,0,0,0,0,0,0,0,0,1,2014
21,22.06108805632621,17.28660187614344,141.06421279220532,117.90464061735015,14.658402313005189,2.7762214738759137,-13.65518262274701,99.3420154579597,-19.024022368873634,1.0,0,0,0,0,0,0,0,0,0,0,1,2016
22,9.29357356944951,17.202786754690365,244.77576892427865,91.6437578358384,54.62163504229292,-8.039874507616647,-35.70228189464333,99.61926688882156,-24.150263165731044,1.0,1,0,0,0,0,0,0,0,0,0,1,2017
23,3.991053506492839,17.606412048711235,32.69059016367023,70.43450953792019,64.89880607048867,-46.31346105611419,-17.55586067588849,78.99821145298728,-1.6406641100999737,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
