Column1,회사명,거래소코드,회계년도,감사의견코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,(주)고영테크놀러지,98460,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,(주)고영테크놀러지,98460,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,(주)고영테크놀러지,98460,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,(주)고영테크놀러지,98460,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,(주)고영테크놀러지,98460,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,(주)고영테크놀러지,98460,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,(주)고영테크놀러지,98460,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,(주)고영테크놀러지,98460,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,(주)고영테크놀러지,98460,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,(주)고영테크놀러지,98460,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,(주)골드앤에스,35290,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,(주)골드앤에스,35290,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,(주)골드앤에스,35290,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,(주)골드앤에스,35290,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,(주)골드앤에스,35290,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,(주)골드앤에스,35290,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,(주)골드앤에스,35290,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
