,자기자본비율,총자산규모,총자본회전율,총자본순이익률,자기자본증가율,자기자본회전율,차입금의존도,총자산증가율,회사명,거래소코드,회계년도,감사의견코드,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업,y
0,75.62748882488805,17.199146299441868,46.38443125675117,2.1625760760461694,118.8919143197309,61.332766666565085,7.556527215805671,25.66921942160548,(주)CMG제약,58820,2011,1,0,0,0,0,0,0,0,0,0,1,0.0
1,41.797464160647685,17.633568384668482,32.98539060859336,-8.970668687393635,-21.70104244670152,78.91720531612802,0.0,54.40704599231624,(주)CMG제약,58820,2012,1,0,0,0,0,0,0,0,0,0,1,0.0
2,95.59772824552724,17.858520491611245,29.62740849200671,1.0568143762169084,118.8919143197309,30.99174952768074,0.0134323946261564,25.226274006457068,(주)CMG제약,58820,2013,1,0,0,0,0,0,0,0,0,0,1,0.0
3,85.91484569011538,17.869845191684572,29.637160417673293,0.4648092914895705,0.506265022252439,34.495971190556524,0.0077509211567681,1.138906723934063,(주)CMG제약,58820,2014,1,0,0,0,0,0,0,0,0,0,1,0.0
4,86.3346750764616,17.880450047627818,33.86359531821469,-1.2408943331064557,1.5963557399021555,39.22363209014649,0.0,1.0661286731747823,(주)CMG제약,58820,2015,1,0,0,0,0,0,0,0,0,0,1,0.0
5,83.94278124579132,17.875080704917462,41.49958068863819,1.8877956235023603,-2.516652818214893,49.43793864432967,0.0,-0.5354953554741397,(주)CMG제약,58820,2016,1,0,0,0,0,0,0,0,0,0,1,0.0
6,98.72882087289857,18.56555016007968,35.499423994448534,2.922992346736592,112.88568102530628,29.66472467671416,0.0,99.46517130221685,(주)CMG제약,58820,2017,1,0,0,0,0,0,0,0,0,0,1,0.0
7,87.70941359810138,18.53729648525237,31.96301691483721,1.7628575150315882,-3.722656279681835,36.441945742901545,0.0,-2.785827236537721,(주)CMG제약,58820,2018,1,0,0,0,0,0,0,0,0,0,1,0.0
8,98.72882087289857,19.078658750777645,27.892227810883508,1.7711654901694875,79.90473755939836,23.685939252379136,0.0,71.83461121523851,(주)CMG제약,58820,2019,1,0,0,0,0,0,0,0,0,0,1,0.0
9,92.53046286136802,19.12914635102672,24.030410589104147,1.3498026731504165,1.9130115948684523,25.97026951557267,0.0,5.178382141673285,(주)CMG제약,58820,2020,1,0,0,0,0,0,0,0,0,0,1,0.0
10,86.67118692650796,17.634401924842916,72.2509377641961,-2.1598977371719807,-9.127524989615187,83.36211874594565,0.0,-8.294515150274332,(주)ES큐브,50120,2011,1,0,0,1,0,0,0,0,0,0,0,0.0
11,90.54554936773368,17.69663491916334,80.01435675820997,7.041411377805323,3.1589876083875312,88.36917696887203,0.0,6.421027079306308,(주)ES큐브,50120,2012,1,0,0,1,0,0,0,0,0,0,0,0.0
12,98.72882087289857,17.956626295187203,93.22550517987956,-0.0047740659803937,38.13285329520666,88.26526464993637,0.2762061198137532,29.691890201988123,(주)ES큐브,50120,2013,1,0,0,1,0,0,0,0,0,0,0,0.0
13,79.65536841190958,17.672627223493894,72.3487118910101,3.527746624273824,-25.361730057146524,90.82716373475836,0.2768198820158926,-24.72326564951671,(주)ES큐브,50120,2014,1,0,0,1,0,0,0,0,0,0,0,0.0
14,98.72882087289857,17.963392996114965,62.43081993323837,3.7883273612288737,30.28139138370691,60.39217414518004,0.9006792435515739,33.745127955157855,(주)ES큐브,50120,2015,1,0,0,1,0,0,0,0,0,0,0,0.0
15,85.08306348346821,18.459328215911228,35.71842650742315,15.028446687619496,24.42235454360795,41.980654016252366,35.876537998034294,64.20331831291077,(주)ES큐브,50120,2016,1,0,0,1,0,0,0,0,0,0,0,0.0
16,69.77665126810723,18.48241346689204,30.06382903727088,2.0986485448563177,3.1293998092669195,43.085800895997046,26.342291806300032,2.335377774185976,(주)ES큐브,50120,2017,1,0,0,1,0,0,0,0,0,0,0,0.0
17,65.72589195633397,18.57192333080179,26.317436966211872,-0.5082397578402991,-0.2571081655229901,40.04120169825352,2.277116436064905,9.36381208068784,(주)ES큐브,50120,2018,1,0,0,1,0,0,0,0,0,0,0,0.0
18,33.775494454857515,19.63136040494945,14.176006998720004,-1.1457561811288437,4.279742166776002,41.971278962819866,17.783519976222934,102.81581690147787,(주)ES큐브,50120,2019,1,0,0,1,0,0,0,0,0,0,0,0.0
19,18.654982299837304,20.165675856426827,13.397412888554694,-3.2838234146116028,5.250925933884987,75.73750166280138,0.0,70.62798110520659,(주)ES큐브,50120,2020,1,0,0,1,0,0,0,0,0,0,0,0.0
20,97.27358337497192,17.956378733542067,78.85467141952495,11.224394542658574,118.8919143197309,81.06483660168513,2.398763221208379,85.66202373046653,(주)가비아,79940,2011,1,0,0,0,0,0,0,0,0,1,0,0.0
21,75.66086018779488,18.20640100522625,71.4199004739345,6.695283861782854,15.465782012332795,94.39477729524349,16.540155924067115,28.40540144147618,(주)가비아,79940,2012,1,0,0,0,0,0,0,0,0,1,0,0.0
22,78.0138663220362,18.31705183930157,61.6111711856663,8.93763654856461,22.71546482410742,78.97464141994881,7.6082016343388625,11.700481873527586,(주)가비아,79940,2013,1,0,0,0,0,0,0,0,0,1,0,0.0
23,79.77169094073345,18.386785412946992,63.83349142928936,6.026036973728237,11.80122855568031,80.02023108262125,9.045983399239478,7.222247487077396,(주)가비아,79940,2014,1,0,0,0,0,0,0,0,0,1,0,0.0
