,거래소코드,회계년도,y,예측
198,49080,2018,0.0,0.0
199,49080,2019,0.0,1.0
200,49080,2020,0.0,1.0
201,35460,2011,0.0,1.0
202,35460,2012,0.0,1.0
203,35460,2013,0.0,0.0
204,35460,2014,0.0,1.0
205,35460,2015,0.0,0.0
206,35460,2016,0.0,0.0
207,35460,2017,0.0,1.0
208,35460,2018,0.0,1.0
209,35460,2019,0.0,0.0
210,35460,2020,0.0,0.0
211,308100,2020,0.0,0.0
212,187790,2016,0.0,1.0
213,187790,2017,0.0,1.0
214,187790,2018,0.0,0.0
215,187790,2019,0.0,1.0
216,187790,2020,0.0,0.0
217,286750,2020,0.0,1.0
218,121600,2012,0.0,1.0
219,121600,2013,0.0,0.0
220,121600,2014,0.0,0.0
221,121600,2015,0.0,0.0
222,121600,2016,0.0,0.0
223,121600,2017,0.0,0.0
224,121600,2018,0.0,0.0
225,121600,2019,0.0,0.0
226,121600,2020,0.0,0.0
227,39860,2011,0.0,1.0
228,39860,2012,0.0,1.0
229,39860,2013,0.0,1.0
230,39860,2014,0.0,1.0
231,39860,2015,0.0,1.0
232,39860,2016,0.0,1.0
233,39860,2017,0.0,1.0
234,39860,2018,0.0,0.0
235,39860,2019,0.0,0.0
236,39860,2020,0.0,0.0
237,10670,2011,0.0,0.0
238,10670,2012,0.0,0.0
239,10670,2013,0.0,0.0
240,190510,2017,0.0,1.0
241,190510,2018,0.0,1.0
242,190510,2019,0.0,1.0
243,190510,2020,0.0,1.0
244,89600,2014,0.0,0.0
245,89600,2015,0.0,0.0
246,89600,2016,0.0,0.0
247,89600,2017,0.0,0.0
248,89600,2018,0.0,0.0
249,89600,2019,0.0,0.0
250,89600,2020,0.0,0.0
251,138610,2012,0.0,1.0
252,138610,2013,0.0,0.0
253,138610,2014,0.0,1.0
254,138610,2015,0.0,1.0
255,138610,2016,0.0,0.0
256,138610,2017,0.0,1.0
257,138610,2018,0.0,1.0
258,138610,2019,0.0,1.0
259,138610,2020,0.0,0.0
260,130580,2013,0.0,0.0
261,130580,2014,0.0,0.0
262,130580,2015,0.0,0.0
263,130580,2016,0.0,0.0
264,130580,2017,0.0,0.0
265,130580,2018,0.0,0.0
266,130580,2019,0.0,0.0
267,130580,2020,0.0,0.0
268,168330,2015,0.0,1.0
269,168330,2016,0.0,1.0
270,168330,2017,0.0,1.0
271,168330,2018,0.0,1.0
272,168330,2019,1.0,1.0
273,168330,2020,1.0,1.0
274,94860,2011,0.0,0.0
275,94860,2012,0.0,1.0
276,94860,2013,0.0,1.0
277,94860,2014,0.0,1.0
278,94860,2015,1.0,1.0
279,94860,2016,0.0,0.0
280,94860,2017,0.0,0.0
281,94860,2018,0.0,1.0
282,94860,2019,0.0,0.0
283,94860,2020,0.0,0.0
284,253590,2020,0.0,0.0
285,212560,2017,0.0,0.0
286,212560,2018,0.0,1.0
287,212560,2019,0.0,0.0
288,212560,2020,0.0,0.0
289,95660,2011,0.0,0.0
290,95660,2012,0.0,0.0
291,95660,2013,0.0,0.0
292,95660,2014,0.0,0.0
293,95660,2015,0.0,0.0
294,95660,2016,0.0,0.0
295,95660,2017,0.0,0.0
296,95660,2018,0.0,0.0
297,95660,2019,0.0,0.0
298,95660,2020,0.0,0.0
299,42420,2011,0.0,0.0
300,42420,2012,0.0,0.0
301,42420,2013,0.0,0.0
302,42420,2014,0.0,0.0
303,42420,2015,0.0,0.0
304,42420,2016,0.0,0.0
305,42420,2017,0.0,0.0
306,42420,2018,0.0,0.0
307,42420,2019,0.0,0.0
308,42420,2020,0.0,0.0
309,311390,2020,0.0,0.0
310,85910,2011,0.0,0.0
311,85910,2012,0.0,0.0
312,85910,2013,0.0,0.0
313,85910,2014,0.0,1.0
314,85910,2015,0.0,0.0
315,85910,2016,0.0,1.0
316,85910,2017,0.0,1.0
317,85910,2018,0.0,0.0
318,85910,2019,0.0,0.0
319,85910,2020,0.0,0.0
320,92730,2011,0.0,0.0
321,92730,2012,0.0,0.0
322,92730,2013,0.0,0.0
323,92730,2014,0.0,0.0
324,92730,2015,0.0,0.0
325,92730,2016,0.0,0.0
326,92730,2017,0.0,0.0
327,92730,2018,0.0,0.0
328,92730,2019,0.0,0.0
329,92730,2020,0.0,0.0
330,28090,2011,0.0,1.0
331,28090,2012,0.0,1.0
332,290660,2020,0.0,1.0
333,153460,2013,0.0,1.0
334,153460,2014,0.0,0.0
335,153460,2015,0.0,0.0
336,153460,2016,0.0,0.0
337,153460,2017,0.0,1.0
338,153460,2018,0.0,0.0
339,153460,2019,0.0,0.0
340,153460,2020,0.0,0.0
341,7390,2011,0.0,1.0
342,7390,2012,1.0,1.0
343,7390,2013,1.0,1.0
344,7390,2014,1.0,0.0
345,7390,2015,0.0,1.0
346,7390,2016,0.0,1.0
347,7390,2017,0.0,0.0
348,7390,2018,0.0,1.0
349,7390,2019,0.0,1.0
350,7390,2020,0.0,0.0
351,33640,2011,0.0,0.0
352,33640,2012,0.0,0.0
353,33640,2013,0.0,1.0
354,33640,2014,0.0,1.0
355,33640,2015,0.0,1.0
356,33640,2016,0.0,1.0
357,33640,2017,0.0,0.0
358,33640,2018,0.0,1.0
359,33640,2019,0.0,0.0
360,33640,2020,0.0,1.0
361,81970,2011,0.0,0.0
362,81970,2012,0.0,0.0
363,81970,2013,0.0,0.0
364,81970,2014,0.0,0.0
365,81970,2015,0.0,0.0
366,81970,2016,0.0,0.0
367,81970,2017,0.0,0.0
368,89140,2011,0.0,0.0
369,89140,2012,0.0,0.0
370,89140,2013,0.0,0.0
371,89140,2014,0.0,0.0
372,89140,2015,0.0,0.0
373,89140,2016,0.0,0.0
374,89140,2017,0.0,0.0
375,89140,2018,0.0,1.0
376,89140,2019,0.0,0.0
377,89140,2020,0.0,1.0
378,137940,2012,0.0,0.0
379,137940,2013,0.0,0.0
380,137940,2014,0.0,0.0
381,137940,2015,0.0,0.0
382,137940,2016,0.0,0.0
383,137940,2017,0.0,0.0
384,137940,2018,0.0,0.0
385,137940,2019,0.0,0.0
386,137940,2020,0.0,1.0
387,160550,2015,0.0,0.0
388,160550,2016,0.0,0.0
389,160550,2017,0.0,0.0
390,160550,2018,0.0,0.0
391,160550,2019,0.0,0.0
392,160550,2020,0.0,0.0
393,225570,2018,0.0,0.0
394,225570,2019,1.0,1.0
395,225570,2020,0.0,0.0
396,217270,2018,0.0,1.0
397,217270,2019,0.0,1.0
398,217270,2020,0.0,0.0
399,47730,2011,0.0,1.0
400,47730,2012,1.0,1.0
401,104620,2019,0.0,0.0
402,104620,2020,0.0,1.0
403,194700,2017,0.0,0.0
404,194700,2018,0.0,0.0
405,194700,2019,0.0,0.0
406,194700,2020,0.0,0.0
407,285490,2020,0.0,0.0
408,106520,2013,0.0,0.0
409,106520,2014,0.0,1.0
410,106520,2015,0.0,1.0
411,106520,2016,0.0,1.0
412,106520,2017,0.0,1.0
413,106520,2018,0.0,1.0
414,106520,2019,1.0,0.0
415,106520,2020,0.0,1.0
416,31390,2011,0.0,1.0
417,31390,2012,1.0,0.0
418,31390,2013,0.0,1.0
419,31390,2014,0.0,1.0
420,31390,2015,0.0,1.0
421,31390,2016,0.0,0.0
422,31390,2017,0.0,0.0
423,31390,2018,0.0,0.0
424,31390,2019,0.0,0.0
425,31390,2020,0.0,0.0
426,142280,2015,0.0,0.0
427,142280,2016,0.0,1.0
428,142280,2017,0.0,1.0
429,142280,2018,0.0,1.0
430,142280,2019,0.0,1.0
431,142280,2020,0.0,0.0
432,65560,2011,0.0,1.0
433,65560,2012,0.0,1.0
434,65560,2013,0.0,1.0
435,65560,2014,0.0,1.0
436,65560,2015,0.0,1.0
437,65560,2016,0.0,1.0
438,65560,2017,0.0,1.0
439,65560,2018,0.0,0.0
440,65560,2019,1.0,0.0
441,65560,2020,0.0,1.0
442,69140,2012,0.0,0.0
443,69140,2013,0.0,0.0
444,69140,2014,0.0,1.0
445,69140,2015,0.0,1.0
446,69140,2016,0.0,0.0
447,69140,2017,0.0,1.0
448,69140,2018,0.0,0.0
449,69140,2019,0.0,0.0
450,69140,2020,0.0,1.0
451,40160,2011,0.0,0.0
452,40160,2012,0.0,1.0
453,40160,2013,0.0,0.0
454,40160,2014,0.0,0.0
455,40160,2015,0.0,0.0
456,40160,2016,0.0,0.0
457,40160,2017,0.0,0.0
458,40160,2018,0.0,0.0
459,40160,2019,0.0,0.0
460,40160,2020,0.0,0.0
461,126870,2013,0.0,0.0
462,126870,2014,0.0,0.0
463,126870,2015,0.0,0.0
464,126870,2016,0.0,0.0
465,126870,2017,0.0,1.0
466,126870,2018,0.0,1.0
467,126870,2019,0.0,0.0
468,126870,2020,0.0,1.0
469,60260,2011,0.0,1.0
470,60260,2012,0.0,1.0
471,60260,2013,0.0,1.0
472,60260,2014,0.0,0.0
473,60260,2015,0.0,0.0
474,60260,2016,0.0,0.0
475,60260,2017,0.0,0.0
476,60260,2018,0.0,0.0
477,60260,2019,0.0,0.0
478,60260,2020,0.0,1.0
479,12340,2011,0.0,0.0
480,12340,2012,0.0,1.0
481,12340,2013,0.0,1.0
482,12340,2014,0.0,1.0
483,12340,2015,0.0,1.0
484,12340,2016,0.0,1.0
485,12340,2017,0.0,1.0
486,12340,2018,0.0,1.0
487,12340,2019,0.0,0.0
488,12340,2020,0.0,0.0
489,270870,2019,0.0,0.0
490,270870,2020,0.0,0.0
491,144960,2018,0.0,0.0
492,144960,2019,0.0,0.0
493,144960,2020,0.0,0.0
494,85670,2011,0.0,0.0
495,85670,2012,0.0,0.0
496,85670,2013,0.0,1.0
497,85670,2014,0.0,1.0
498,85670,2015,0.0,1.0
499,85670,2016,0.0,1.0
500,85670,2017,0.0,1.0
501,85670,2018,0.0,0.0
502,85670,2019,0.0,1.0
503,85670,2020,0.0,1.0
504,119860,2012,0.0,0.0
505,119860,2013,0.0,0.0
506,119860,2014,0.0,0.0
507,119860,2015,0.0,0.0
508,119860,2016,0.0,0.0
509,119860,2017,0.0,0.0
510,119860,2018,0.0,0.0
511,119860,2019,0.0,0.0
512,119860,2020,0.0,0.0
513,64260,2011,0.0,0.0
514,64260,2012,0.0,0.0
515,64260,2013,0.0,1.0
516,64260,2014,0.0,0.0
517,64260,2015,0.0,0.0
518,64260,2016,0.0,0.0
519,64260,2017,0.0,0.0
520,64260,2018,0.0,0.0
521,64260,2019,0.0,0.0
522,64260,2020,0.0,0.0
523,39560,2011,0.0,1.0
524,39560,2012,0.0,1.0
525,39560,2013,0.0,0.0
526,39560,2014,0.0,0.0
527,39560,2015,0.0,1.0
528,39560,2016,0.0,1.0
529,39560,2017,0.0,1.0
530,39560,2018,0.0,0.0
531,39560,2019,0.0,0.0
532,39560,2020,0.0,1.0
533,32190,2011,0.0,1.0
534,32190,2012,0.0,1.0
535,32190,2013,0.0,0.0
536,32190,2014,0.0,1.0
537,32190,2015,0.0,0.0
538,32190,2016,0.0,0.0
539,32190,2017,0.0,0.0
540,32190,2018,0.0,0.0
541,32190,2019,0.0,1.0
542,32190,2020,0.0,1.0
543,68240,2011,0.0,0.0
544,68240,2012,0.0,1.0
545,68240,2013,0.0,1.0
546,68240,2015,0.0,0.0
547,68240,2016,0.0,0.0
548,68240,2017,0.0,0.0
549,68240,2018,0.0,0.0
550,68240,2019,0.0,0.0
551,68240,2020,0.0,0.0
552,42340,2011,1.0,1.0
553,48470,2011,0.0,0.0
554,48470,2012,0.0,0.0
555,48470,2013,0.0,1.0
556,48470,2014,0.0,1.0
557,48470,2015,0.0,1.0
558,48470,2016,0.0,0.0
559,48470,2017,0.0,0.0
560,48470,2018,0.0,1.0
561,48470,2019,0.0,0.0
562,48470,2020,0.0,1.0
563,4780,2011,0.0,0.0
564,4780,2012,0.0,0.0
565,4780,2013,0.0,0.0
566,4780,2014,0.0,0.0
567,4780,2015,0.0,0.0
568,4780,2016,0.0,0.0
569,4780,2017,0.0,0.0
570,4780,2018,0.0,0.0
571,4780,2019,0.0,0.0
572,4780,2020,0.0,0.0
573,17650,2011,0.0,1.0
574,17650,2012,0.0,0.0
575,17650,2013,0.0,1.0
