,총자본순이익률,자기자본비율,총자산규모,총자본회전율,자기자본증가율,차입금의존도,자기자본회전율,총자산증가율,y,감사의견코드,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업,회계년도
0,-10.714159286512432,41.65949200822107,17.58376441186839,48.828101487634775,-36.56813519027323,12.303098628918,117.20762576269306,-40.69845222877645,1.0,1,0,0,0,0,0,0,0,0,0,1,2020
1,-7.445353768343861,20.669767982344705,17.714853327938087,45.55225028732542,-55.32790123530705,36.33789487322443,220.3810431071812,-18.21820985774389,1.0,1,0,0,0,0,0,0,0,0,1,0,2014
2,-15.116176577687956,48.36887639822949,17.067764174703267,41.40058170250044,60.3977819452445,0.5987621292937465,85.59343277202089,-47.64324141764579,1.0,1,0,0,0,0,0,0,0,0,1,0,2015
3,-35.200342627625346,37.021189912189634,17.23139216341814,20.390178452108017,-8.762798593904808,6.594572818245759,55.07704776770108,0.7666316884780271,1.0,0,0,0,0,0,0,0,0,0,1,0,2019
4,-17.252203136221553,-12.7547038086634,16.76575863162193,13.032478946248863,-128.14683229758344,6.355325637519166,-102.17782507341953,-37.22627123434783,1.0,1,0,0,0,0,0,0,0,0,1,0,2020
5,-1.5216689965720782,23.373858540144457,17.105199899937904,30.54990995972481,-63.9369656594393,0.5257468115164559,130.7011844332656,-11.223796373069902,1.0,1,0,0,1,0,0,0,0,0,0,0,2017
6,-0.4790962617639017,20.775987688595883,17.456701502114885,77.77749514035884,-64.76000644927726,20.10492972897812,374.3624433463231,-18.87955420757168,1.0,1,0,0,0,0,0,0,0,0,0,1,2014
7,-1.0403267971079762,88.14632200025656,19.232818892546764,17.725740998996642,-6.439305934979311,0.7961997403479026,20.109450509965747,-7.277280901942435,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
8,-13.507662360826572,41.57535106705512,17.8243049115338,8.529064264034918,-48.04646193358136,1.750966350404156,20.51471375498129,-28.85306151657034,1.0,1,0,0,0,0,0,0,0,1,0,0,2019
9,-1.949257165947284,37.64075447740857,17.775624702348264,16.22551204446243,-26.51523097678641,0.0,43.10623490344952,-4.751432282936534,1.0,1,0,0,0,0,0,0,0,1,0,0,2020
10,-7.296326330833123,43.36744520672765,16.56983461713436,33.82670762632649,-53.9793943898766,5.909927167641108,78.00023142953992,-57.92143978449064,1.0,1,0,0,0,0,0,0,0,0,1,0,2015
11,-3.2433535817893864,35.07956712487717,17.093343884010505,82.10244481520108,12.885140118282967,18.719667345277408,234.04634533525063,-1.3459867791942102,1.0,1,0,0,0,0,0,0,0,0,0,1,2012
12,-12.409664992150832,28.66294607984805,16.984893824041684,89.80812568846692,-23.01563066547028,22.739501016277533,313.3248251532942,-10.277629892224429,1.0,1,0,0,0,0,0,0,0,0,0,1,2013
13,9.3888809235321,58.034954828147725,17.015023200566183,77.18433627386433,94.43426612647768,14.494099906023967,132.9962890510064,3.0587859204164487,1.0,1,0,0,0,0,0,0,0,0,0,1,2014
14,-64.38018075916537,-5.269315558558186,17.11908022641492,27.21304557714168,-106.15347127517198,0.0,-516.4436495541337,-32.97247221475477,1.0,1,0,0,0,0,0,0,0,0,1,0,2019
15,-39.98795474162952,42.116703347181065,16.324401927569244,60.5368374161438,-47.727920755016925,10.889771689036731,143.73593516358545,-36.661818637538914,1.0,0,0,0,0,0,0,0,0,0,0,1,2012
16,-2.30956369045753,46.500151227016914,18.6522666699231,51.66228227637861,-12.15365583328295,8.118100539556792,111.10132099175294,9.590398381752076,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
17,4.324410374443227,102.36630836678752,17.95461160444078,14.566137288337233,36.875936961993006,0.0,14.22942520906926,15.08816746884219,1.0,1,0,0,0,0,0,0,0,0,0,1,2012
18,4.797438216785934,72.54214931133318,18.67642202480212,41.33144401181109,20.235716156797025,9.099841594481848,56.97576430280089,12.751061546369485,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
19,-10.579695086709409,14.151654141861304,16.55353235635533,51.55916557453794,-87.7882613322737,15.48829501502162,364.3331377215004,-74.14378220551676,1.0,0,0,0,1,0,0,0,0,0,0,0,2011
20,3.2458703219758105,24.85985268625905,18.55449990641717,252.66249272329983,-14.069961325374026,20.94760811662124,1016.3475058038282,-7.178980576672712,1.0,1,0,0,0,0,0,0,0,0,0,1,2014
