,회사명,거래소코드,회계년도,산업분류
137,(주)구영테크,53270,2020,제조업
138,(주)구영테크,53270,2021,제조업
139,(주)국보디자인,66620,2011,건설업
140,(주)국보디자인,66620,2012,건설업
141,(주)국보디자인,66620,2013,건설업
142,(주)국보디자인,66620,2014,건설업
143,(주)국보디자인,66620,2015,건설업
144,(주)국보디자인,66620,2016,건설업
145,(주)국보디자인,66620,2017,건설업
146,(주)국보디자인,66620,2018,건설업
147,(주)국보디자인,66620,2019,건설업
148,(주)국보디자인,66620,2020,건설업
149,(주)국보디자인,66620,2021,건설업
150,(주)국순당,43650,2011,제조업
151,(주)국순당,43650,2012,제조업
152,(주)국순당,43650,2013,제조업
153,(주)국순당,43650,2014,제조업
154,(주)국순당,43650,2015,제조업
155,(주)국순당,43650,2016,제조업
156,(주)국순당,43650,2017,제조업
157,(주)국순당,43650,2018,제조업
158,(주)국순당,43650,2019,제조업
159,(주)국순당,43650,2020,제조업
160,(주)국순당,43650,2021,제조업
161,(주)국영지앤엠,6050,2011,제조업
162,(주)국영지앤엠,6050,2012,제조업
163,(주)국영지앤엠,6050,2013,제조업
164,(주)국영지앤엠,6050,2014,제조업
165,(주)국영지앤엠,6050,2015,제조업
166,(주)국영지앤엠,6050,2016,제조업
167,(주)국영지앤엠,6050,2017,제조업
168,(주)국영지앤엠,6050,2018,제조업
169,(주)국영지앤엠,6050,2019,제조업
170,(주)국영지앤엠,6050,2020,제조업
171,(주)국영지앤엠,6050,2021,제조업
172,(주)국전약품,307750,2020,제조업
173,(주)국전약품,307750,2021,제조업
174,(주)그래디언트,35080,2011,도매 및 소매업
175,(주)그래디언트,35080,2012,도매 및 소매업
176,(주)그래디언트,35080,2013,도매 및 소매업
177,(주)그래디언트,35080,2014,도매 및 소매업
178,(주)그래디언트,35080,2015,도매 및 소매업
179,(주)그래디언트,35080,2016,도매 및 소매업
180,(주)그래디언트,35080,2017,도매 및 소매업
181,(주)그래디언트,35080,2018,도매 및 소매업
182,(주)그래디언트,35080,2019,도매 및 소매업
183,(주)그래디언트,35080,2020,도매 및 소매업
184,(주)그래디언트,35080,2021,도매 및 소매업
185,(주)그리티,204020,2019,제조업
186,(주)그리티,204020,2020,제조업
187,(주)그리티,204020,2021,제조업
188,(주)그린플러스,186230,2020,제조업
189,(주)그린플러스,186230,2021,제조업
190,(주)글로벌스탠다드테크놀로지,83450,2011,제조업
191,(주)글로벌스탠다드테크놀로지,83450,2012,제조업
192,(주)글로벌스탠다드테크놀로지,83450,2013,제조업
193,(주)글로벌스탠다드테크놀로지,83450,2014,제조업
194,(주)글로벌스탠다드테크놀로지,83450,2015,제조업
195,(주)글로벌스탠다드테크놀로지,83450,2016,제조업
196,(주)글로벌스탠다드테크놀로지,83450,2017,제조업
197,(주)글로벌스탠다드테크놀로지,83450,2018,제조업
198,(주)글로벌스탠다드테크놀로지,83450,2019,제조업
199,(주)글로벌스탠다드테크놀로지,83450,2020,제조업
200,(주)글로벌스탠다드테크놀로지,83450,2021,제조업
201,(주)금빛,45890,2011,제조업
202,(주)금빛,45890,2012,제조업
203,(주)금빛,45890,2013,제조업
204,(주)금빛,45890,2014,제조업
205,(주)금빛,45890,2015,제조업
206,(주)금빛,45890,2016,제조업
207,(주)금빛,45890,2017,제조업
208,(주)금빛,45890,2018,제조업
209,(주)금빛,45890,2019,제조업
210,(주)금빛,45890,2020,제조업
211,(주)금빛,45890,2021,제조업
212,(주)금화피에스시,36190,2011,건설업
213,(주)금화피에스시,36190,2012,건설업
214,(주)금화피에스시,36190,2013,건설업
215,(주)금화피에스시,36190,2014,건설업
216,(주)금화피에스시,36190,2015,건설업
217,(주)금화피에스시,36190,2016,건설업
218,(주)금화피에스시,36190,2017,건설업
219,(주)금화피에스시,36190,2018,건설업
220,(주)금화피에스시,36190,2019,건설업
221,(주)금화피에스시,36190,2020,건설업
222,(주)금화피에스시,36190,2021,건설업
223,(주)기가레인,49080,2015,제조업
224,(주)기가레인,49080,2016,제조업
225,(주)기가레인,49080,2017,제조업
226,(주)기가레인,49080,2018,제조업
227,(주)기가레인,49080,2019,제조업
228,(주)기가레인,49080,2020,제조업
229,(주)기가레인,49080,2021,제조업
230,(주)기산텔레콤,35460,2011,제조업
231,(주)기산텔레콤,35460,2012,제조업
