,총자본순이익률,총자산증가율,순이익증가율,운전자산회전율,현금흐름,금융비용대비매출액,자기자본비율,유형자산증가율,y,감사의견코드,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업,회계년도
0,-10.714159286512432,-40.69845222877645,-146.1486829183908,260.83583801926807,17.397556691423198,2.1811780005541457,41.65949200822107,-7.485893918267189,1.0,1,0,0,0,0,0,0,0,0,0,1,2020
1,-7.445353768343861,-18.21820985774389,-231.8554053696396,-163.12134411086748,-8.818697768833859,5.820381017867011,20.669767982344705,21.664093693745127,1.0,1,0,0,0,0,0,0,0,0,1,0,2014
2,-15.116176577687956,-47.64324141764579,-239.1632553597887,155.94386264038044,7.409361549797549,2.936857581269959,48.36887639822949,-98.3762333065232,1.0,1,0,0,0,0,0,0,0,0,1,0,2015
3,-35.200342627625346,0.7666316884780271,-442.6141640804773,-58.44103486081013,-45.10871477207194,43.25951777891298,37.021189912189634,38.0020046940655,1.0,0,0,0,0,0,0,0,0,0,1,0,2019
4,-17.252203136221553,-37.22627123434783,-140.0412100586115,-17.828585992038253,17.882625591604242,73.15533054534284,-12.7547038086634,-61.34882637797944,1.0,1,0,0,0,0,0,0,0,0,1,0,2020
5,-1.5216689965720782,-11.223796373069902,-111.72986022082056,-2296.8115017826603,-18.94962765935912,8.636683158280832,23.373858540144457,-40.11901811246541,1.0,1,0,0,1,0,0,0,0,0,0,0,2017
6,-0.4790962617639017,-18.87955420757168,-102.0087153049618,-647.405150948295,0.054796781607636,3.1347688415856148,20.775987688595883,-22.88940947202591,1.0,1,0,0,0,0,0,0,0,0,0,1,2014
7,-1.0403267971079762,-7.277280901942435,-271.51010773556726,63.26668775449234,-1.924137749665195,0.1281600659075862,88.14632200025656,-18.428467737338565,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
8,-13.507662360826572,-28.85306151657034,-233.36780531512352,32.89213309295772,-16.38555120592083,34.29172040150566,41.57535106705512,-9.607847378024658,1.0,1,0,0,0,0,0,0,0,1,0,0,2019
9,-1.949257165947284,-4.751432282936534,-111.7128850653206,-122.89512216250633,-16.735830394823907,22.447869918729005,37.64075447740857,-10.124166023218176,1.0,1,0,0,0,0,0,0,0,1,0,0,2020
10,-7.296326330833123,-57.92143978449064,-137.84378741177127,347.1473250404629,-20.994710591796284,1.2972592807667038,43.36744520672765,38.976407275448224,1.0,1,0,0,0,0,0,0,0,0,1,0,2015
11,-3.2433535817893864,-1.3459867791942102,-167.03255531679042,60340.9463774499,8.508033570120183,2.271957243621189,35.07956712487717,17.268976754543676,1.0,1,0,0,0,0,0,0,0,0,0,1,2012
12,-12.409664992150832,-10.277629892224429,-460.49705063121576,-659.7315892896202,-9.73098821188974,2.7171781153352272,28.66294607984805,-1.6124740362374983,1.0,1,0,0,0,0,0,0,0,0,0,1,2013
13,9.3888809235321,3.0587859204164487,237.63923347132305,469.2148723934229,-10.506868198005254,1.7822673975507453,58.034954828147725,-2.278248145051504,1.0,1,0,0,0,0,0,0,0,0,0,1,2014
14,-64.38018075916537,-32.97247221475477,-1221.0540643265842,-232.2579402661785,142.30277483892274,0.7578745737091013,-5.269315558558186,175.19586058485416,1.0,1,0,0,0,0,0,0,0,0,1,0,2019
15,-39.98795474162952,-36.661818637538914,-291.1932451548654,245.5968028596508,-11.47564806676244,0.5004160318658625,42.116703347181065,-40.45318633932022,1.0,0,0,0,0,0,0,0,0,0,0,1,2012
16,-2.30956369045753,9.590398381752076,-113.67584256673106,-707.087262431756,6.876115872458323,6.154750543425821,46.500151227016914,-8.191854860518157,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
17,4.324410374443227,15.08816746884219,255.7382118092119,29.92901934047056,7.1842885080800345,0.1065965764514299,102.36630836678752,-18.97232870288575,1.0,1,0,0,0,0,0,0,0,0,0,1,2012
18,4.797438216785934,12.751061546369485,-1.477822133435991,218.7194577212753,9.8225563080865,4.558300109732258,72.54214931133318,59.39369602878476,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
19,-10.579695086709409,-74.14378220551676,-149.16453032842617,-2239.010295092111,-96.1706917370406,5.683036972423736,14.151654141861304,-85.50715005035246,1.0,0,0,0,1,0,0,0,0,0,0,0,2011
20,3.2458703219758105,-7.178980576672712,505.0504549926728,-3594.658396033067,21.949975147744897,0.89973664545393,24.85985268625905,-7.950983043848509,1.0,1,0,0,0,0,0,0,0,0,0,1,2014
21,-19.024022368873634,2.7762214738759137,-830.7369440242057,-170.94301517566117,-29.74981851903137,22.06108805632621,42.05066430397997,2.158885802999556,1.0,0,0,0,0,0,0,0,0,0,0,1,2016
22,-24.150263165731044,-8.039874507616647,-223.5111500809744,-96.24922656283744,-40.39690414209789,9.29357356944951,27.789566707408547,53.22700775226231,1.0,1,0,0,0,0,0,0,0,0,0,1,2017
