,자기자본비율,총자산규모,차입금의존도,총자본순이익률,총자본회전율,자기자본회전율,총자산증가율,자기자본증가율,감사의견코드,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업,회계년도,y
0,41.65949200822107,17.58376441186839,12.303098628918,-10.714159286512432,48.828101487634775,117.20762576269306,-40.69845222877645,-36.56813519027323,1,0,0,0,0,0,0,0,0,0,1,2020,1.0
1,20.669767982344705,17.714853327938087,36.33789487322443,-7.445353768343861,45.55225028732542,220.3810431071812,-18.21820985774389,-55.32790123530705,1,0,0,0,0,0,0,0,0,1,0,2014,1.0
2,48.36887639822949,17.067764174703267,0.5987621292937465,-15.116176577687956,41.40058170250044,85.59343277202089,-47.64324141764579,60.3977819452445,1,0,0,0,0,0,0,0,0,1,0,2015,1.0
3,37.021189912189634,17.23139216341814,6.594572818245759,-35.200342627625346,20.390178452108017,55.07704776770108,0.7666316884780271,-8.762798593904808,0,0,0,0,0,0,0,0,0,1,0,2019,1.0
4,1.144546618638934,16.76575863162193,6.355325637519166,-17.252203136221553,13.032478946248863,2.323566034779649,-37.22627123434783,-97.37574615748017,1,0,0,0,0,0,0,0,0,1,0,2020,1.0
5,23.373858540144457,17.105199899937904,0.5257468115164559,-1.5216689965720782,30.54990995972481,130.7011844332656,-11.223796373069902,-63.9369656594393,1,0,0,1,0,0,0,0,0,0,0,2017,1.0
6,20.775987688595883,17.456701502114885,20.10492972897812,-0.4790962617639017,77.77749514035884,374.3624433463231,-18.87955420757168,-64.76000644927726,1,0,0,0,0,0,0,0,0,0,1,2014,1.0
7,88.14632200025656,19.232818892546764,0.7961997403479026,-1.0403267971079762,17.725740998996642,20.109450509965747,-7.277280901942435,-6.439305934979311,1,0,0,0,0,0,0,0,0,0,1,2019,1.0
8,41.57535106705512,17.8243049115338,1.750966350404156,-13.507662360826572,8.529064264034918,20.51471375498129,-28.85306151657034,-48.04646193358136,1,0,0,0,0,0,0,0,1,0,0,2019,1.0
9,37.64075447740857,17.775624702348264,0.0,-1.949257165947284,16.22551204446243,43.10623490344952,-4.751432282936534,-26.51523097678641,1,0,0,0,0,0,0,0,1,0,0,2020,1.0
10,43.36744520672765,16.56983461713436,5.909927167641108,-7.296326330833123,33.82670762632649,78.00023142953992,-57.92143978449064,-53.9793943898766,1,0,0,0,0,0,0,0,0,1,0,2015,1.0
11,35.07956712487717,17.093343884010505,18.719667345277408,-3.2433535817893864,82.10244481520108,234.04634533525063,-1.3459867791942102,12.885140118282967,1,0,0,0,0,0,0,0,0,0,1,2012,1.0
12,28.66294607984805,16.984893824041684,22.739501016277533,-12.409664992150832,89.80812568846692,313.3248251532942,-10.277629892224429,-23.01563066547028,1,0,0,0,0,0,0,0,0,0,1,2013,1.0
13,58.034954828147725,17.015023200566183,14.494099906023967,9.3888809235321,77.18433627386433,132.9962890510064,3.0587859204164487,94.43426612647768,1,0,0,0,0,0,0,0,0,0,1,2014,1.0
14,1.144546618638934,17.11908022641492,0.0,-41.7019314589041,27.21304557714168,2.323566034779649,-32.97247221475477,-97.37574615748017,1,0,0,0,0,0,0,0,0,1,0,2019,1.0
15,42.116703347181065,16.420621605839436,10.889771689036731,-39.98795474162952,60.5368374161438,143.73593516358545,-36.661818637538914,-47.727920755016925,0,0,0,0,0,0,0,0,0,0,1,2012,1.0
16,46.500151227016914,18.6522666699231,8.118100539556792,-2.30956369045753,51.66228227637861,111.10132099175294,9.590398381752076,-12.15365583328295,1,0,0,0,0,0,0,0,0,0,1,2019,1.0
17,97.6860648023812,17.95461160444078,0.0,4.324410374443227,14.566137288337233,14.22942520906926,15.08816746884219,36.875936961993006,1,0,0,0,0,0,0,0,0,0,1,2012,1.0
18,72.54214931133318,18.67642202480212,9.099841594481848,4.797438216785934,41.33144401181109,56.97576430280089,12.751061546369485,20.235716156797025,1,0,0,0,0,0,0,0,0,0,1,2019,1.0
19,14.151654141861304,16.55353235635533,15.48829501502162,-10.579695086709409,51.55916557453794,364.3331377215004,-60.02967731360383,-87.7882613322737,0,0,0,1,0,0,0,0,0,0,0,2011,1.0
20,24.85985268625905,18.55449990641717,20.94760811662124,3.2458703219758105,146.14409598250296,759.2703739526512,-7.178980576672712,-14.069961325374026,1,0,0,0,0,0,0,0,0,0,1,2014,1.0
21,42.05066430397997,17.28660187614344,13.916189603370832,-19.024022368873634,10.812004562893796,25.71185198106484,2.7762214738759137,-13.65518262274701,0,0,0,0,0,0,0,0,0,0,1,2016,1.0
22,27.789566707408547,17.202786754690365,13.486363857390888,-24.150263165731044,35.93837993437871,129.3232827728751,-8.039874507616647,-35.70228189464333,1,0,0,0,0,0,0,0,0,0,1,2017,1.0
23,52.65255570973747,17.606412048711235,4.42315269024651,-1.6406641100999737,29.446847249819168,55.92671970597873,-46.31346105611419,-17.55586067588849,1,0,0,0,0,0,0,0,0,0,1,2019,1.0
24,35.02106550771657,18.255219490060465,34.54843206637235,-36.18434161503639,42.22994943672778,120.584422045705,-12.589586363895148,-26.41483461906341,0,0,0,0,0,0,0,0,0,1,0,2011,1.0
25,56.49657158516429,18.332757249291674,1.7990809350066497,1.19446680364719,46.77607582472475,82.79453869906666,111.57626136599828,26.19208581094332,0,0,0,0,0,0,0,0,0,0,1,2018,1.0
