,회사명,거래소코드,회계년도,PER,PBR,PSR,PCR,EV/EBITDA,F_ROA,F_CFO,F_ROA변화율,F_ACCURUAL,F_MARGIN변화율,F_LEVER변화율,F_LIQUID변화율,F_EQ_OFFER,F_TURN변화율,시가총액
0,(주)CMG제약,058820,2011,58.1986015893482,1.7135471652641214,2.7133867991137324,,59.92713902123266,True,False,True,False,True,True,True,True,True,34299162000.0
1,(주)CMG제약,058820,2012,,5.602994521997985,5.89912168425376,,,False,False,False,True,False,False,True,True,False,87813968200.0
2,(주)CMG제약,058820,2013,131.32286703046773,1.6476707497634806,4.684307567476338,,141.18019522977622,True,False,True,False,True,True,True,True,False,80736239112.0
3,(주)CMG제약,058820,2014,296.51703313704076,1.6041915803949847,4.650373724900784,848.4894565840771,296.4812182600896,True,True,False,False,False,False,False,False,True,79003701792.0
4,(주)CMG제약,058820,2015,,3.723576290947392,9.403401666254105,133.31281951166653,,False,True,False,True,False,True,False,True,True,186307184840.0
5,(주)CMG제약,058820,2016,285.5629453255551,7.087381885250069,12.990118682515222,165.84282903218462,333.57861264193565,True,True,True,True,True,False,False,True,True,345689035920.0
6,(주)CMG제약,058820,2017,267.676082475934,6.543579346837997,22.040220725945954,239.0366080413953,265.10958095041144,True,True,True,True,True,True,True,True,False,679456402560.0
7,(주)CMG제약,058820,2018,229.50338445933974,4.612751920485861,12.657809089088966,,177.20808886655703,True,False,False,False,True,False,False,False,True,461137478340.0
8,(주)CMG제약,058820,2019,194.64570015777747,3.2821165764040923,12.360064935179258,141.58534720760068,168.75614215301997,True,True,False,True,True,True,True,True,False,590292037000.0
9,(주)CMG제약,058820,2020,300.2463428647297,4.379890726469633,16.865018377430776,103.06954860822238,289.0776015839648,True,True,False,True,False,False,False,False,True,802797170320.0
10,(주)CMG제약,058820,2021,178.24311917905035,2.8850293239393574,10.320487139725314,95.60701969140923,175.3646901859871,True,True,True,True,True,True,True,False,True,532651755740.0
11,(주)ES큐브,050120,2011,,1.1940912870028495,1.4324147526071902,24.665461651392494,,False,True,False,True,True,False,False,False,True,49277078600.0
12,(주)ES큐브,050120,2012,24.15951506266381,1.8848139154993617,2.1260820074897997,12.311957431516738,24.23567346371643,True,True,True,True,False,False,False,True,True,80238531940.0
13,(주)ES큐브,050120,2013,,0.9557024297953168,0.8884198142738631,7.707945738176925,279.25946663982546,False,True,False,True,False,True,True,True,True,56199722040.0
14,(주)ES큐브,050120,2014,26.189805815053575,1.1598841471258388,1.2770234139569048,7.028568643433874,23.39926614032555,True,True,True,True,False,False,True,False,True,50908189770.0
15,(주)ES큐브,050120,2015,27.95142328864201,1.0243138706523622,1.6961036510955187,9.734743118326785,25.706860900647897,True,True,False,True,True,False,False,False,False,58571788230.0
16,(주)ES큐브,050120,2016,3.1935643205074262,0.9974440578636632,2.229589764467652,13.981542437972871,3.3827814110490437,True,True,True,False,True,False,True,True,False,70964703535.0
17,(주)ES큐브,050120,2017,29.139397373590448,1.1685542901947188,2.034117271631044,11.943284479141727,35.19195457161294,True,True,False,True,False,True,False,True,True,85740345620.0
18,(주)ES큐브,050120,2018,,0.7598120493555713,1.897575540018601,26.85717628705299,,False,True,False,True,False,False,False,False,False,55606360072.0
19,(주)ES큐브,050120,2019,,0.927600540559636,2.2121428142290673,,,False,False,False,False,False,False,True,True,False,70791193260.0
20,(주)ES큐브,050120,2020,,0.9422813194373247,1.0031264155202968,0.8179603324902202,,False,True,False,True,True,False,False,True,True,75687602112.0
21,(주)ES큐브,050120,2021,34.282853434768235,0.8278868317138309,4.014108317273788,12.099669723877861,6.111130916041462,True,True,True,True,True,False,False,True,False,67277866560.0
22,(주)가비아,079940,2011,9.268315617530263,1.0694705575680932,1.3192779750938772,6.392452131535255,7.625553855983271,True,True,True,True,False,True,True,False,True,50305951800.0
23,(주)가비아,079940,2012,10.943992711909228,0.9907292363553128,1.0259484723625019,8.056171428221344,9.142531962647945,True,True,False,True,False,False,True,True,True,53809484940.0
24,(주)가비아,079940,2013,8.365593867092485,0.9584018972772566,1.2135565037654814,6.923050350786135,6.855577977185032,True,True,True,True,True,True,True,False,False,63877926360.0
25,(주)가비아,079940,2014,15.323645430935658,1.1661797998046917,1.4465894293344317,7.484280076653551,13.212366842402794,True,True,False,True,True,True,True,True,True,86899091280.0
26,(주)가비아,079940,2015,12.499584176217336,1.1604148988250114,1.4156057432893236,7.4294753324326965,10.730242107750474,True,True,True,True,True,True,True,False,True,96509426920.0
27,(주)가비아,079940,2016,10.435813238319078,0.8462280234641905,1.07894805601073,6.385728327100693,9.293191970007022,True,True,False,True,True,False,False,False,False,79048394560.0
28,(주)가비아,079940,2017,12.379901075424963,0.7795374938719729,0.9506995185387356,6.654175755170913,10.25989869422457,True,True,False,True,True,False,False,False,True,79454465080.0
29,(주)가비아,079940,2018,8.592613089341986,0.7939275627624324,0.9389539965502116,5.3099262030425125,7.031444681603929,True,True,True,True,False,False,True,False,False,86086950240.0
30,(주)가비아,079940,2019,8.662927486166813,0.8829545308225527,1.0911924423803119,4.485122242536639,7.044297688371183,True,True,False,True,True,False,False,False,False,112075463520.0
31,(주)가비아,079940,2020,11.524991852927025,1.0818613623015092,1.4724516613233143,4.760335044283379,9.444994575786753,True,True,False,True,True,True,True,False,False,177994244600.0
32,(주)가비아,079940,2021,9.967050301463184,0.9551594802204516,1.2850051240437999,7.105337366950194,7.917186902494275,True,True,True,True,False,True,True,False,True,182731734000.0
33,(주)강스템바이오텍,217730,2016,,5.680905807177913,211.61117510876494,,,False,False,True,True,True,False,True,True,False,153507420000.0
