,자기자본비율,총자산규모,총자본회전율,총자본순이익률,자기자본증가율,자기자본회전율,차입금의존도,총자산증가율,y,감사의견코드,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업,회계년도
608,44.81331901842013,19.416554853408755,97.9324210209648,3.018641144277485,2.818342379816285,218.5341839570297,28.851504615551445,31.510559180809704,0.0,1,0,0,0,0,0,0,0,1,0,0,2015
609,83.02117071997603,17.859203321750677,49.7195864895814,-0.4761192855476967,21.68694964651021,59.887840725929664,0.0,-4.61994435718028,0.0,1,0,0,0,0,0,0,0,0,1,0,2015
610,81.26605576687126,18.60902831612367,70.25625966885016,6.959473511350383,10.81686976719003,86.45215890678267,1.5867848213665992,8.575492418855122,0.0,1,0,0,0,0,0,0,0,0,1,0,2015
611,93.48321530682529,18.960972161751275,61.8639987221754,7.17931063760006,46.09029762014061,66.17658423400276,7.793478522547842,30.70508798297303,0.0,1,0,0,0,0,0,0,0,0,1,0,2015
612,63.3690625271416,19.887466815775,30.687226968898244,1.2288367882261169,-3.949268717831711,48.42619686184344,0.2325888836082114,-11.847501990816674,0.0,1,0,0,0,0,0,0,0,0,1,0,2015
613,92.71254485375628,17.592599839389283,37.2651818649737,-5.849117539298491,270.0634982405572,40.19432529196062,0.0,159.63654548841987,0.0,1,0,0,0,0,0,0,0,0,1,0,2015
614,18.36956274491222,18.747811787158525,72.58689317093386,-2.563782650072634,-4.999890505367766,395.1476373112806,34.98959571875019,-1.9002130333021263,0.0,1,0,0,0,0,0,0,0,0,1,0,2015
615,70.39625821364126,17.4874689804943,74.68661113740191,2.605648009649929,6.535490905186014,106.094575241116,21.208368294949747,47.39388174251108,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
616,75.87248340173053,17.75909928246732,32.09137489481505,-2.843665535438042,-6.697518743850828,42.29646039776667,16.701063503580617,-4.353501473422631,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
617,45.114620530113854,19.646724360121496,57.02325956889036,-2.257676248462523,2.167320214952828,126.39640741481476,36.635474081284,31.902042440686067,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
618,49.776177567310015,18.69129036797559,51.37658307182706,1.976774611706989,124.28634881787563,103.21520370332354,28.727213719340128,27.73998816374188,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
619,90.54612767300874,19.05954974821481,94.35833335445604,14.626670713979792,20.38354166326002,104.21023601938496,1.3820757283944896,22.22915641321951,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
620,59.3067990468913,17.982237485288657,28.425933086105992,0.5949031278872157,-1.2252142291221737,47.93031076189232,26.39255589923728,0.9752890986791116,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
621,47.375066563344085,18.090720561803444,59.961912531611006,-3.9762797343190255,-10.187970978990824,126.5685029728398,34.58931025451496,0.6504071095759094,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
622,76.83577869228215,17.71171848165855,50.204083625051,8.404616065445895,12.257903604339605,65.33946096402846,9.420325068971277,5.01759121352391,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
623,97.6860648023812,18.23260321730192,35.205251753007566,0.2111924011855784,15.581246971514329,36.03917490609101,0.4343648248437283,8.056943074922602,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
624,73.0068998400195,19.0771752523174,76.95517710045759,5.238481882704815,3.8219922789960448,105.408087823329,7.446551145780934,12.21841593845276,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
625,79.95514391153988,17.193121179522407,52.32853560380602,0.0483386503800315,-2.895315176805169,65.44736591519472,9.965362227878968,-5.199953591111028,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
626,78.63681416915233,18.1070254282527,50.05740786497063,-0.1883988769792307,10.718470825452163,63.656454542136274,0.3320679630392372,3.2029291819623067,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
627,90.72124773671162,19.590204562305047,50.95722043664562,10.707802348533155,16.387655733596993,56.169003081320135,4.938896409886072,12.84916725954266,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
628,28.1323081407546,19.752648960978803,111.17051633948932,0.2491061152482773,-5.045396265123204,395.1702639657898,33.661899743304176,4.815920931086796,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
629,95.57448453935028,17.58590393698075,35.25971402067915,3.571036892623216,6.4768849509309945,36.89239255709707,0.3281219477642409,7.516611237035805,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
630,30.25492907369654,17.07908246338133,60.58044594021006,-0.7953366536399602,-32.90898924817657,200.2333100588173,23.34376575557568,-30.89166727092647,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
631,38.37705387766656,17.19648319124968,5.869967629034777,-21.55373923116811,36.30335952347452,15.29551394889849,30.008645411929685,25.86356833392906,0.0,1,0,0,0,0,0,0,0,0,0,0,2016
632,85.32377499256906,20.21239526217014,72.38730144951438,13.078396340846696,24.99650207741042,84.83837178537715,0.2939555281822382,14.336617766012926,0.0,1,0,0,0,0,0,0,0,0,0,0,2016
633,69.79076819625296,17.61363039630235,46.36615363618052,1.2490420987159725,-0.2672582684962399,66.4359410771895,22.22299149543258,1.4486137326240796,0.0,1,0,0,1,0,0,0,0,0,0,0,2016
634,47.18884852005875,17.164073500692407,130.9559056776491,-10.77754561007904,50.51890519813593,277.5145183336761,3.236237785548632,-14.627447252718213,0.0,1,0,0,1,0,0,0,0,0,0,0,2016
635,50.81897938029635,17.60038727396939,34.943854411916924,-24.900443425421216,13.24550264660358,68.76142503850724,1.1036517392475838,52.913686029607376,0.0,1,0,0,1,0,0,0,0,0,0,0,2016
636,25.51661088170712,18.607344302266288,74.17158073392059,0.5194136455757117,-13.3176832322474,290.6795932962017,37.63876525057225,-10.914245804452252,0.0,1,0,0,1,0,0,0,0,0,0,0,2016
637,47.8128944747229,18.911814164765183,191.4053984912346,0.8801409379492191,2.213839948906915,400.3217136172844,2.3701025173620502,0.27812732607698,0.0,1,0,0,1,0,0,0,0,0,0,0,2016
638,68.93363006312296,19.014173514690228,80.02683308171767,7.101923175875144,6.503244010892706,116.09258501030132,29.30452609827753,30.5325345663828,0.0,1,0,0,1,0,0,0,0,0,0,0,2016
639,78.85947780499147,19.086265604622906,38.87894500729112,3.611499528637179,12.252910105991589,49.30155016171087,18.753463915564456,21.573106652753445,0.0,1,0,0,0,0,1,0,0,0,0,0,2016
640,45.13278094863269,18.59127083035548,63.1469278319662,3.730630024350022,7.46482999858713,139.91366475696694,24.150842408205463,1.1320625651733347,0.0,1,0,0,0,0,0,0,1,0,0,0,2016
641,73.9146140605437,17.05359553994241,54.90090540855026,-6.94528086978627,-3.339645584982609,74.2761172554872,0.0,-13.647875771040106,0.0,1,0,0,0,0,0,0,0,0,1,0,2016
642,78.64210731854601,19.21828076435705,73.54755028783198,-1.0330676494778548,101.75472372280106,93.52184573325567,0.0,39.08813673846204,0.0,1,0,0,0,0,0,0,0,0,1,0,2016
643,94.66239653934032,18.839667113078008,4.5276343308436005,-4.416542224764148,-7.760968901418797,4.782928064748478,0.0,-7.936431132316837,0.0,1,0,0,0,0,0,0,0,0,1,0,2016
644,86.06569201789121,17.1234017005909,48.549629677508825,2.201338357441119,1.2727949656146986,56.40996840810436,3.8088931293719295,8.522914145115386,0.0,1,0,0,0,0,0,0,0,0,1,0,2016
645,81.8137434427268,17.889670729027642,87.05967754774986,8.457707915230273,6.1876434095351485,106.41204507247056,0.0,6.066181812396496,0.0,1,0,0,0,0,0,0,0,0,1,0,2016
646,80.47081551825696,17.638398259739297,41.22879589123187,-0.0068271700733061,-0.8147657884211901,51.23447006931106,3.6711949473782495,-6.3869724391475575,0.0,1,0,0,0,0,0,0,0,0,0,1,2016
647,82.36193477251598,18.81218400415445,50.49541605519959,4.884368647448148,5.302583994092647,61.30916690418717,9.823921673883378,10.042948510515073,0.0,1,0,0,0,0,0,0,0,0,0,1,2016
648,55.6075710485333,17.933912945976378,53.98807867309687,-7.880613281943091,-21.6746228645757,97.08764050488205,20.22973327749076,-21.10258457987393,0.0,1,0,0,0,0,0,0,0,0,0,1,2016
649,44.34911802260997,19.346539349393808,47.35843167043895,10.799978250743866,12.432112310304188,106.78550957043784,35.97304622834015,8.011440600369026,0.0,1,0,0,0,0,0,0,0,0,0,1,2016
650,43.98303896240773,18.68861148679222,56.78668874846618,-7.126195509658825,-10.825006854090304,129.11042549152123,11.783010579013023,-16.264898207326514,0.0,1,0,0,0,0,0,0,0,0,0,1,2016
